JA04-03-AP-00013
PIPING AND INSTRUMENTATION DIAGRAM\JUDY RISER PLATFORM AND BRIDGE\JASMINE FLOW LINE
Continuity Labels
Number,Tag,x,y,w,h,Pointing Direction,Location
1,JA04-03-AP-00252,182,4948,284,61,right,A6
2,JA04-03-AP-00021,182,4454,284,61,right,A6
3,JA04-97-AE-00035,720,3973,283,60,right,A5
4,JA04-03-AP-00016,182,3973,284,60,right,A5
5,JA04-97-AE-00035,966,3694,61,283,up,B5
6,JA04-97-AE-00035,832,3694,61,283,up,A5
7,JA04-97-AE-00035,698,3694,60,283,up,A5
8,JA04-97-AE-00035,1045,3693,61,283,down,B5
9,JA04-03-AP-00045,5581,3502,284,61,right,G5
10,JA04-03-AP-00045,5581,3232,284,61,right,G4
11,JA04-03-AP-00060,182,2784,284,61,right,A4
12,JA04-03-AP-00045,5581,2650,283,61,right,G4
13,103-PSHHH1006,384,2413,251,108,unknown,A3
14,103-PSHH1006,386,2233,231,109,unknown,A3
15,JA04-03-AP-00014,5581,1573,283,61,right,G2
16,103PSHH1011,5539,1057,232,109,unknown,F2
17,JA04-03-AP-00131,194,632,283,60,right,A1
18,JA04-03-AP-00099,182,419,284,61,right,A1
Equipment symbols
Number,Class,x,y,w,h,Location
231,Pipeline,3,JAO4-97-AE-OOO35),738,4255,236,31,A5
232,N/A,N/A,(REFER TO VENDOR P&ID,724,4216,348,31,A5
233,N/A,N/A,051-v1012,476,4121,144,24,A5
234,N/A,N/A,METERING,828,4098,152,24,A5
235,N/A,N/A,JU DY GAS,831,4059,132,24,A5
236,N/A,N/A,1 O3v1 743,2468,4075,140,24,C5
237,N/A,N/A,CONFIG 17,2288,4136,152,24,C5
238,N/A,N/A,TSO,2336,4103,54,24,C5
239,N/A,N/A,PB,2348,4070,32,24,C5
240,N/A,N/A,PC,2347,4036,33,24,C5
241,N/A,N/A,051-v1002,1749,3924,132,24,B5
242,N/A,N/A,NOTE 56,4528,3623,120,24,E5
243,Section Break,23,LC,4577,3587,32,24,E5
244,N/A,N/A,NOTE 56,3564,3601,124,24,D5
245,N/A,N/A,LC,3637,3565,31,24,D5
246,N/A,N/A,1157,832,3520,68,24,A5
247,N/A,N/A,FY,847,3487,33,24,A4
248,N/A,N/A,103,843,3453,42,24,A4
249,N/A,N/A,v,4170,3453,24,24,E4
250,N/A,N/A,060-v1 037,2392,3379,144,25,C4
251,N/A,N/A,FOJ,842,3340,41,26,A4
252,N/A,N/A,103,843,3306,42,24,A4
253,N/A,N/A,O60v1 038,2672,3306,144,24,C4
254,N/A,N/A,CFJO1-HT,2085,3300,124,24,C4
255,N/A,N/A,JO2-HT,2260,3300,86,24,C4
256,N/A,N/A, ,2334,3280,14,7,C4
257,N/A,N/A,PB,2777,3199,33,24,C4
258,N/A,N/A,LO,2768,3164,48,24,C4
259,N/A,N/A,"15"" E 2""",2010,3132,101,24,C4
260,N/A,N/A,CHECK VALVE LEAKAGE,2004,3095,332,24,C4
261,N/A,N/A,CONFIG 18,1056,2926,156,24,B4
262,N/A,N/A,MS,1113,2892,38,24,B4
263,N/A,N/A,PC,1115,2858,33,24,B4
264,N/A,N/A,076-v1 978,1496,2886,144,24,B4
265,N/A,N/A,"O,75""",1571,2847,60,24,B4
266,N/A,N/A,15,1964,2877,28,24,C4
267,N/A,N/A,NOTE,1881,2877,72,24,C4
268,N/A,N/A,O78v1019,1876,2844,144,24,C4
269,N/A,N/A,103v1005,3696,2799,140,24,D4
270,N/A,N/A,1 O3v1 025,3353,2758,129,24,D4
271,N/A,N/A,MS,3399,2727,39,24,D4
272,N/A,N/A,MS,4910,2724,38,24,F4
273,N/A,N/A,CONFIG 25,3888,2850,156,24,E4
274,N/A,N/A,MS,3991,2818,39,24,E4
275,N/A,N/A,PB,3994,2790,32,24,E4
276,N/A,N/A,TSO,3983,2758,53,24,E4
277,N/A,N/A,FO,3993,2724,35,24,E4
278,N/A,N/A,\,3975,2701,11,11,E4
279,N/A,N/A,v,3632,2601,36,24,D3
280,N/A,N/A,1 O3v1 033,2500,2635,140,24,C4
281,N/A,N/A,LO,4908,2613,44,24,F3
282,N/A,N/A,PB,4908,2582,44,24,F3
283,N/A,N/A,LO,3396,2616,48,24,D3
284,N/A,N/A,PB,3403,2580,33,24,D3
285,N/A,N/A,103=v1004,4480,2545,140,24,E3
286,N/A,N/A,103v1012,3552,2537,140,24,D3
287,N/A,N/A,103v1017,2503,2434,129,24,C3
288,N/A,N/A,1 O3v1 022,2500,2243,140,25,C3
289,N/A,N/A,HH,1442,2086,35,24,B3
290,N/A,N/A,HHH,1442,2052,53,24,B3
291,N/A,N/A,1 O3v1 OO9,2500,2059,140,24,C3
292,N/A,N/A,[,2597,2005,15,15,C3
293,N/A,N/A,"42, 53",2959,1968,75,29,D3
294,N/A,N/A,"41,",2914,1968,34,29,D3
295,N/A,N/A,"38,",2868,1968,35,29,D3
296,N/A,N/A,"NOTES 30, 31,",2864,1929,192,29,D3
297,N/A,N/A,HH,1442,1917,35,24,B3
298,N/A,N/A,HHH,1442,1884,53,24,B3
299,N/A,N/A,103=v1014,2504,1879,140,24,C3
300,N/A,N/A,103v1032,3080,1855,140,24,D3
301,N/A,N/A,HH,1968,1873,35,24,C3
302,N/A,N/A,HHH,1964,1839,64,24,C3
303,N/A,N/A,CONFIG 18,2904,1883,156,24,D3
304,N/A,N/A,TSO,2953,1850,53,24,D3
305,N/A,N/A,PC,2964,1816,33,24,D3
306,N/A,N/A,l,3036,1795,23,24,D3
307,N/A,N/A,MS,2961,1782,39,24,D3
308,N/A,N/A,HH,1442,1750,35,24,B3
309,N/A,N/A,HHH,1442,1716,53,24,B2
310,N/A,N/A,1 O3v1 OO8,3512,1719,140,24,D2
311,N/A,N/A,*-IH,1968,1705,35,24,C2
312,N/A,N/A,HHH,1964,1672,64,24,C2
313,N/A,N/A,CONFIG 9,4751,1726,127,24,F2
314,N/A,N/A,MS,4834,1692,39,24,F2
315,N/A,N/A,PB,4836,1659,32,24,F2
316,N/A,N/A,D,4787,1659,16,24,F2
317,N/A,N/A,CONFIG 3,3880,1692,136,24,E2
318,N/A,N/A,TSO,3915,1659,54,24,E2
319,N/A,N/A,103=v1006,4592,1694,130,24,E2
320,N/A,N/A,"2""x1",4660,1658,65,25,F2
321,N/A,N/A,RS,4688,1569,35,24,F2
322,N/A,N/A,H,1442,1581,15,24,B2
323,N/A,N/A,HHH,1442,1548,53,24,B2
324,N/A,N/A,"2"" x1",3490,1660,69,24,D2
325,N/A,N/A,"42,53",3417,1631,67,29,D2
326,N/A,N/A,"31,",3463,1592,34,29,D2
327,N/A,N/A,"30,",3417,1592,34,29,D2
328,N/A,N/A,"2, 24,",3417,1553,65,29,D2
329,N/A,N/A,NOTES,3418,1515,90,24,D2
330,N/A,N/A,LO,5439,1547,33,24,F2
331,N/A,N/A,2,5454,1513,23,24,F2
332,N/A,N/A,LO,5256,1547,48,24,F2
333,N/A,N/A,2,5275,1513,23,24,F2
334,N/A,N/A,LO,5080,1547,34,24,F2
335,N/A,N/A,l,5096,1513,23,24,F2
336,N/A,N/A,HH,1968,1537,35,24,C2
337,N/A,N/A,HHH,1964,1504,64,24,C2
338,N/A,N/A,l,4582,1536,23,24,E2
339,N/A,N/A,1 O3;v1016,4480,1501,140,24,E2
340,N/A,N/A,JASMINE HP,5591,1505,165,24,G2
341,N/A,N/A,1 O3v1 824,5525,1468,130,24,F2
342,N/A,N/A,103v1041,5346,1468,125,24,F2
343,N/A,N/A,1 O3-v1 044,5167,1468,130,24,F2
344,N/A,N/A,1 O3v1 029,2876,1474,144,24,D2
345,N/A,N/A,CONFIG 20,2697,1453,142,24,C2
346,N/A,N/A,TSO,2740,1420,53,24,C2
347,N/A,N/A,"2""x1",2813,1412,73,24,D2
348,N/A,N/A,FC,2749,1390,34,24,C2
349,N/A,N/A,NOTE 45,3228,1324,111,24,D2
350,N/A,N/A,103v1039,2508,1299,140,24,C2
351,N/A,N/A,l,2613,1267,23,24,C2
352,N/A,N/A,076-v1615,3032,1114,144,25,D2
353,N/A,N/A,HT,3052,1076,34,24,D2
354,N/A,N/A,O76v1 983,2504,569,144,24,C1
355,N/A,N/A,CONFIG,2144,570,112,24,C1
356,N/A,N/A,MS,2199,536,39,24,C1
357,N/A,N/A,PC,2202,503,33,24,C1
358,N/A,N/A,PG,2546,1692,37,24,C2
359,N/A,N/A,HT,2548,1648,33,24,C2
360,N/A,N/A,CSS,1369,3457,46,65,B4
361,N/A,N/A,"NOTES 30, 31,///38, 41, 42, 53, 58,///59",2667,1481,233,116,C2
362,N/A,N/A,CSS,4234,1033,48,70,E2
363,N/A,N/A,OPPS,5291,1145,59,90,F2
364,N/A,N/A,NOTE 15,1899,4376,122,35,C6
365,N/A,N/A,SET AT; 210.0 barg,2002,3162,258,43,C4
366,N/A,N/A,NOTE 15,3032,1142,117,31,D2
367,N/A,N/A,"NOTES 8, 41, 48, 55",3741,1723,279,47,E2
368,N/A,N/A,TSO,3677,1650,104,32,D2
369,N/A,N/A,CONFIG 3,3675,1684,154,34,D2
370,N/A,N/A,"NOTES 35, 37",3291,2788,222,37,D4
371,N/A,N/A,"NOTES 35, 37",4616,2825,234,56,E4
Sensors
Number,Tag,re,x,y,r,Location
1,103-PI-1128,1,504,3364,70,A4
2,103-TST-1106C,2,4380,1356,70,E2
